fact_check_id,claim,instances,title,translated_claim,language
0, Are avocados good for you,"[(1525653998.0, 'https://metafact.io/factchecks/175-are-avocados-good-for-you')]",, Are avocados good for you,"[('eng', 1.0)]"
1, Can animals have headaches,"[(1617955634.0, 'https://metafact.io/factchecks/1754-can-animals-have-headaches')]",, Can animals have headaches,"[('eng', 1.0)]"
2, Can we help prevent Alzheimers with diet,"[(1525653998.0, 'https://metafact.io/factchecks/173-can-we-help-prevent-alzheimer-s-with-diet')]",, Can we help prevent Alzheimers with diet,"[('eng', 1.0)]"
3, Do any benefits of alcohol outweigh the risks,"[(1525653998.0, 'https://metafact.io/factchecks/172-do-any-benefits-of-alcohol-outweigh-the-risks')]",, Do any benefits of alcohol outweigh the risks,"[('eng', 1.0)]"
4, Does acupuncture work for headaches,"[(1617955595.0, 'https://metafact.io/factchecks/1752-does-acupuncture-work-for-headaches')]",, Does acupuncture work for headaches,"[('eng', 1.0)]"
5, Does lack of sleep trigger headaches,"[(1617955627.0, 'https://metafact.io/factchecks/1753-does-lack-of-sleep-trigger-headaches')]",, Does lack of sleep trigger headaches,"[('eng', 1.0)]"
6, Does marijuana harm the brain,"[(1525653998.0, 'https://metafact.io/factchecks/176-does-marijuana-harm-the-brain')]",, Does marijuana harm the brain,"[('eng', 1.0)]"
7, Is Autism prevalence increasing,"[(1525653999.0, 'https://metafact.io/factchecks/190-is-autism-prevalence-increasing')]",, Is Autism prevalence increasing,"[('eng', 1.0)]"
8, Is it better to drink little alcohol than none at all,"[(1525653998.0, 'https://metafact.io/factchecks/171-is-it-better-to-drink-little-alcohol-than-none-at-all')]",, Is it better to drink little alcohol than none at all,"[('eng', 1.0)]"
9, Is there a psychological component to headaches,"[(1617955644.0, 'https://metafact.io/factchecks/1755-is-there-a-psychological-component-to-headaches')]",, Is there a psychological component to headaches,"[('eng', 1.0)]"
10, Should women with fibroids avoid soy,"[(1525653998.0, 'https://metafact.io/factchecks/185-should-women-with-fibroids-avoid-soy')]",, Should women with fibroids avoid soy,"[('eng', 1.0)]"
