post_id,instances,ocr,verdicts,text,translated_ocr,language
0,"[(1608571882.0, 'fb')]", Dreister ImpfFake von Markus Söder Es ist wirklich unglaublich wie dreist Spitzenpolitiker wie beispielsweise Markus Söder uns verarschen Auf Instagram macht Söder fleißig Werbung für das Impfen Doch wenn man genau hinschaut sieht man dass er sich gar nichts injizieren lässt Der Deckel ist nämlich noch auf der Nadel Da könnt ihr mal sehen wie sehr diejenigen die euch zwangsimpfen wollen den Impfstoffen vertrauen markussoeder FSME ,['False information'],, Brazen vaccination fake by Markus Söder Its really unbelievable how bold Top politicians such as Markus Söder kidding us On Instagram does Söder busy advertising for vaccination But if you look closely you can see you that he cant be injected at all The lid is still on the needle You can see how much those who want to vaccinate you the Trust vaccines markussoeder TBE ,"[('deu', 0.9577142000198364), ('fy', 0.03401247784495354)]"
1,"[(1586139153.0, 'fb')]", WARNING  A new thing circulating now People are going door to door handing out masks They say its a new initiative from local government They ask you to please put it on to see if it fits Its doused with chemicals which knocks you out cold They then rob you Please DO NOT accept masks from strangers Remember friends its a critical time and people are desperate the crime rate will spike Please be cautious  safe PROTECTYOURSELF,['False information'],, WARNING  A new thing circulating now People are going door to door handing out masks They say its a new initiative from local government They ask you to please put it on to see if it fits Its doused with chemicals which knocks you out cold They then rob you Please DO NOT accept masks from strangers Remember friends its a critical time and people are desperate the crime rate will spike Please be cautious  safe PROTECTYOURSELF,"[('eng', 1.0)]"
2,"[(1610052141.0, 'fb'), (1610072448.0, 'fb')]",Actually hes a damn sight better than any of the other Presidents that have been there before him including those that you admire Miss Ardern Judith Collins on Donald Trump No thanks,['Missing context'],,Actually hes a damn sight better than any of the other Presidents that have been there before him including those that you admire Miss Ardern Judith Collins on Donald Trump No thanks,"[('eng', 1.0)]"
3,"[(1645187790.0, 'ig')]",Australia 50 MILLONES de dosis de vacuna retiradas porque dieron positivo en pruebas de VIH La magnitud de este caso está más allá de la comprensión Excepto ¡es EXACTAMENTE lo que anunció el profesor Montagnier Chris Schmer USER  1d Australie 50 MILLIONS de doses de vaccin rappelées car positif dans les tests VIH Lampleur de cette affaire dépasse lentendement Sauf que cest EXACTEMENT ce que le Professeur Montagnier avait annoncé ,['False'],,Australia 50 MILLION doses of vacuna retiradas porque dieron positivo en evidence of HIV The magnitude of this caso está más allá de la understanding Excepto ¡es EXACTLY lo que anunció el Professor Montagnier Chris Schmer USER  1d Australia 50 MILLION doses of vaccine recalled because positive in HIV tests The extent of this case is beyond comprehension Except thatthis is EXACTLY what Professor Montagnier had announced,"[('fra', 0.5122882127761841), ('spa', 0.3978404998779297), ('deu', 0.06450078636407852), ('eng', 0.025370478630065918)]"
4,"[(1581697500.0, 'fb')]",Bienaventurados los perseguidos por mi causa  Ellos alcanzarán el cielo Son religiosas apresadas por defender a los niños presos en jaulas hijos de los emigrantes detenidos en los EEUU para deportarlos Ayuden conpartiendo este hecho ya que ningun periódico lo da a conocer,[],,Blessed are those persecuted by me cause They will reach the sky They are nuns imprisoned for defending children imprisoned in cages children of the immigrants detained in the US to deport them Help sharing this fact since No newspaper reports it,"[('spa', 1.0)]"
5,"[(1595754861.0, 'fb')]",Cigarette smoking does not cause cancer Centers for Disease Control CDC 1958 OBEWARETHENEEDLE AS SMOKING AS FASHIONABLE ABOUT TO BECOME Vaccines TERUNG TONY BTKHU m GLE USE ONLY TERUMO Vaccines do not cause autism Centers for Disease Control CDC 2012,['False information'],,Cigarette smoking does not cause cancer Centers for Disease Control CDC 1958 OBEWARETHENEEDLE AS SMOKING AS FASHIONABLE ABOUT TO BECOME Vaccines TERUNG TONY BTKHU m GLE USE ONLY TERUMO Vaccines do not cause autism Centers for Disease Control CDC 2012,"[('eng', 0.9357140064239502), ('msa', 0.020095674321055412)]"
6,"[(1649820343.0, 'fb')]",Coman lo que quieran en Semana Santa el sacrificio no está en el estómago sino en el CORAZÓN te abstienes de comer carne pero no te hablas con tus HERMANOS no vas a visitar a tus VIEJOS padres no le pasan la manutención a sus HIJOS cagan Hig a palos a su MUJER ETCUn buen ASADO no te hace una mala personacomo DEL PAIR tampoco un FILETE de merluza te hace un SANTO Juan Andrés Gordo Verde,['False information'],,Eat what you want on Easter the sacrifice is not in the stomach but in the HEART you refrain from eating meat but you dont talk to your BROTHERS no you are going to visit your OLD parents do not they pass the support to their CHILDREN shit high to beat his WOMAN ETC  A good ROAST doesnt make you a bad person like OF THE PAIR neither does a hake FILLET make you a HOLY Juan Andres Gordo Green,"[('spa', 0.9574843049049377), ('por', 0.027326691895723343), ('eng', 0.011842070147395134)]"
7,"[(1627866871.0, 'fb')]",DISCURSO DE PEDRO CASTILLO ESTUBO BASADO EN EL ODIO A ESPAÑA DE UN PASADO PREHISPÁNICO QUE SOLO SE EXPLICA DESDE LA MÁS ABSOLUTA IGNORANCIA Y ESTUPIDEZ REY DE ESPAÑA,['False information'],,SPEECH BY PEDRO CASTILLO IT WAS BASED ON THE HATE OF SPAIN OF A PAST PREHISPANIC THAT I ONLY KNOW EXPLAINS FROM THE MOST ABSOLUTE IGNORANCE AND STUPIDITY KING OF SPAIN,"[('spa', 1.0)]"
8,"[(1642607367.0, 'fb')]",Debemos ser Solidarios con los que menos tienen estamos a los estudiando propietarios de  de 1 vivienda no puede ser que haya gente sin techo Wado de Pedro La Cámpora Min del Int y Vivienda,['Partly false information'],,We must be Solidarity with those who least have were to the studying owners of  of 1 dwelling cannot be that there are people homeless Wado de Pedro La Cámpora Min of the Interior and Housing,"[('spa', 1.0)]"
9,"[(1606048131.0, 'fb')]",Die Not wird die Menschen zwingen sich zu beugen Das ist der bösartigste Satz der je von einem deutschen Politker gesprochen wurde,['False information'],,The need will die force people to bend Thats the meanest sentence ever from a man was spoken to by German politicians,"[('deu', 1.0)]"
10,"[(1657560260.0, 'fb')]",EIN VOLK DAS KORRUPTE VERRÄTER HOCHSTAPLER UND DIEBE WÄHLT IST KEIN OPFER SONDERN KOMPLIZE  George Orwell,['False information'],,A PEOPLE THAT CORRUPT TRAITOR STACKER AND THIEVES CHOOSE IS NO VICTIM BUT AN ACCOMPLICE  George Orwell,"[('deu', 0.8655431270599365), ('eng', 0.1344568431377411)]"
11,"[(1632098689.0, 'fb')]",EL AGUINALDO DE 2 MILLONES NO ES SOLO PARA NOSOTROS ES PARA NUESTROS ASESORES ELLOS TAMBIÉN TIENEN FAMILIA ASI QUE LE PIDO A LA CAN DERECHA QUE DEJE DE MENTIR CHILE En el listado de las 100 personas más influyentes de 2021,['False information'],,THE BONUS OF 2 MILLION ITS NOT JUST FOR US ITS FOR OUR ADVISORS THEY HAVE TOO FAMILY SO I ASK THE CAN RIGHT TO STOP LYING CHILE In the list of the 100 most influencers of 2021,"[('spa', 0.9743000268936157), ('eng', 0.02569996565580368)]"
12,"[(1525190283.0, 'fb')]",EL ARRENDAMIENTO DE VIVIENDA TENDRÁ IVA DEL 25 EN MI GOBIERNO PORQUE ES UN LUJO GUSTAVO PETRO f in SEO P 26 de abril de 2018 71444 Compartido Quienes habitan vivienda a título de arrendamiento claramente tienen ingresos extra y deben aportar impositivamente” anunció ayer Gustavo Petro en una entrevista dada a Caracol Radio Estableció que una nueva reforma tributaria durante su gobierno solamente afectará a quienes disfruten de lujos como arrendar vivienda contratar telefonía privada salud prepagada planes complementarios al POS colegios privados,['Partly false information'],,HOUSING LEASING WILL HAVE 25 VAT ON ME GOVERNMENT BECAUSE IT IS A LUXURY GUSTAVO PETRO F in SEO P April 26 2018 71444 Shared Those who live in a house lease title they clearly have income extra and must contribute taxed” ad yesterday Gustavo Petro in a interview given to Caracol Radio It established that a new tax reform during his government only will affect those who enjoy luxuries such as renting housing hiring private telephony prepaid health complementary plans to the POS private schools,"[('spa', 0.9433392882347107), ('por', 0.04349100962281227), ('eng', 0.01000951323658228)]"
13,"[(1473438408.0, 'fb')]",Environmentalists Say Fracking is Evil 5358 This is where the lithium for their electric cars comes from,['Partly false information'],,Environmentalists Say Fracking is Evil 5358 This is where the lithium for their electric cars comes from,"[('eng', 0.9789742827415466)]"
14,"[(1601665028.0, 'fb')]",Environmentalists Say Fracking is Evil SAPERN This is where the lithium for their electric cars comes from,['Partly false information'],,Environmentalists Say Fracking is Evil SAPERN This is where the lithium for their electric cars comes from,"[('eng', 1.0)]"
15,"[(1603642996.0, 'fb'), (1603523078.0, 'fb')]",Environmentalists Say Fracking is Evil This is where the lithium for their electric cars comes from,['Partly false information'],,Environmentalists Say Fracking is Evil This is where the lithium for their electric cars comes from,"[('eng', 1.0)]"
16,"[(1633129058.0, 'fb')]",Estrictamente y hablando con sentido la conquista fue llevada por el reino de castilla no por España que aún no existía como tal y los conquistadores No los españoles conquistaron a los Mexicas Aztecas No a los mexicanos Si los indígenas en México sufren en la actualidad no es por el recuerdo de la conquista sino por la indiferencia manipulaciónes y mentiras de su gobierno,['Partly false information'],,Strictly and meaningfully speaking the conquest was carried by the kingdom of Castile not by Spain which has not yet existed as such and the conquerors Not the Spanish conquered the Mexicas Aztecs Not the Mexicans If the indigenous people in Mexico suffer in the today it is not because of the memory of the conquest but by indifference manipulations and lies of your government,"[('spa', 1.0)]"
17,"[(1600895918.0, 'ig')]",Fuera del trabajo todo estará prohibido caminar por las calles divertirse cantar bailar George Orwell 1984,[],,Out of work everything will be forbidden walk the streets have fun sing dance George Orwell 1984,"[('spa', 0.8413290977478027), ('eng', 0.15867090225219727)]"
18,"[(1623451926.0, 'ig')]",HOJE É UM GRANDE DIA SE VOCÊ ESTIVER TOTALMENTE VACINADO NÃO PRECISARÁ MAIS USAR MÁSCARA JOE BIDEN ELE NINGUÉM CHAMA DE GENOCIDA BiaKıcıs DEPUTADA FEDERAL  OF,[],,TODAY IS A BIG DAY IF YOU ARE FULLY VACCINATED YOU WILL NOT NEED MORE WEAR MASK  JOE BIDEN HE NO ONE CALLS GENOCIDAL BiaKıcıs FEDERAL DEPUTY  OF,"[('por', 0.8416744470596313), ('hbs', 0.0500277616083622), ('ku', 0.039201367646455765)]"
19,"[(1597269949.0, 'fb')]",I dont like Joe Biden and do not like his history with certain people or who hes aligned with hes trash to me Kamala Harris June 2019,['False information'],,I dont like Joe Biden and do not like his history with certain people or who hes aligned with hes trash to me Kamala Harris June 2019,"[('eng', 1.0)]"
20,"[(1621682990.0, 'fb')]",I saw no evidence of Hamas using Palestinians as human shields Jeremy Bowen ASC Middle East EditorReporter Por DOW 141 REL ON A THREE DAY VISIT TO BAAEL AND THE Like LENAR Comment Share BBC BBC has removed Jeremy Bowen from Gaza its most experienced Middle East correspondent for saying He had not seen any evidence of Hamas using civilians as human shields Israel complaint to BBC and said that this was proHamas and BBC immediately pulled him out of Gaza,['False information'],,I saw no evidence of Hamas using Palestinians as human shields Jeremy Bowen ASC Middle East EditorReporter Por DOW 141 REL ON A THREE DAY VISIT TO BAAEL AND THE Like LENAR Comment Share BBC BBC has removed Jeremy Bowen from Gaza its most experienced Middle East correspondent for saying He had not seen any evidence of Hamas using civilians as human shields Israel complaint to BBC and said that this was proHamas and BBC immediately pulled him out of Gaza,"[('eng', 0.9742329120635986), ('ga', 0.0040368130430579185)]"
21,"[(1615140432.0, 'fb')]",La esclavitud nunca tiene tanto éxito como cuando el esclavo está convencido de que es por su propio bien  ARISTÓTELES ,['False information'],,Slavery never have so much success as when the slave Is conviced that it is for your own good  ARISTOTLE ,"[('spa', 0.8767152428627014), ('por', 0.1232847347855568)]"
22,"[(1612380187.0, 'fb'), (1612450113.0, 'fb'), (1604783176.0, 'fb')]",La esclavitud nunca tiene tanto éxito como cuando el esclavo está convencido de que es por su propio bien  Aristóteles,['False information'],,Slavery never have so much success as when the slave Is conviced that it is for your own good  Aristotle,"[('spa', 0.891075074672699), ('por', 0.10892493277788162)]"
23,"[(1559940631.0, 'fb')]",La reforma laboral en Brasil es INNOVADORA  Quita de aguinaldo  Quita de vacaciones  Quita del pago de hs extra  Quita del pago de despidos  Quita de derechos a mujeres embarazadas Despidos a criterio del empleador Luis Alberto Lacalle Pou LA DERECHA SUBVERSIVA,['False information'],,The labor reform in Brazil is INNOVATIVE  Remove bonus  Take off vacation  Remove from the payment of hs extra  Reduction of the payment of dismissals  Takes away womens rights pregnant Layoffs at the discretion of the employer Luis Alberto Lacalle Pou THE RIGHT SUBVERSIVE,"[('spa', 1.0)]"
24,"[(1585248368.0, 'fb')]",Lo peor de la peste no es que mata a los cuerpos sino que desnuda las almas y ese espectáculo suele ser horroroso Albert Camus,['False information'],,The worst of the plague is not that kills the bodies but that strips the souls and that show is usually horrific Albert Camus,"[('spa', 0.8961175084114075), ('eng', 0.10388250648975372)]"
25,"[(1620820155.0, 'fb')]",Man kann nicht Vizekanzler und Innenminister einer Republik sein wenn gegen diese Personen ein Ermittlungsverfahren geführt wird Sebastian Kurz über HC Strache und Herbert Kickl nach Bekanntwerden des Ibiza Videos,['False information'],,You cant be vice chancellor and interior minister one be republic if against these people an investigation to be led Sebastian Kurz about HC Strache and Herbert Kickl after the Ibiza video became known,"[('deu', 1.0)]"
27,"[(1628895505.0, 'fb')]",NO TENEMOS PORQUÉ SEGUIR LLAMANDONOS REPÚBLICA DE CHILE NI USAR LA HORRIBLE BANDERA IMPUESTA POR PINOCHET Gabriel Boric Candidato Comunista,['Partly false information'],,WE DO NOT HAVE WHY FOLLOW CALLING US REPUBLIC OF CHILE OR USE THE HORRIBLE FLAG IMPOSED BY PINOCHET Gabriel Boric Communist Candidate,"[('spa', 0.6063768267631531), ('ita', 0.257841020822525), ('eng', 0.1357821673154831)]"
28,"[(1607587218.0, 'ig')]",No es necesario creer en Dios para ser una buena persona En cierta forma la idea tradicional de Dios no está actualizada Uno puede ser espiritual pero no religioso No es necesario ir a la iglesia y dar dinero Para muchos la naturaleza puede ser una iglesia Algunas de las mejores personas en la historia no creían en Dios mientras que muchos de los peores actos se hicieron en su nombre  Papa Francisco ,[],,You dont have to believe in God to be a good person In a way the idea Gods tradition is out of date One it can be spiritual but not religious Nope it is necessary to go to church and give money For many nature can be a church Some of the best people in history did not believe in God while many of the worst acts were done in your name  Pope Francisco ,"[('spa', 0.9988138675689697)]"
29,"[(1608061299.0, 'fb')]",No es necesario creer en Dios para ser una buena persona En cierta forma la idea tradicional de Dios no está actualizada Uno puede ser espiritual pero no religioso No es necesario ir a la iglesia y dar dinero Para muchos la naturaleza puede ser una iglesia Algunas de las mejores personas en la historia no creían en Dios mientras que muchos de los peores actos se hicieron en su nombre  Papa Francisco ,['False information'],,You dont have to believe in God to be a good person In a way the idea Gods tradition is out of date One it can be spiritual but not religious Nope it is necessary to go to church and give money For many nature can be a church Some of the best people in history did not believe in God while many of the worst acts were done in your name  Pope Francisco ,"[('spa', 1.0)]"
30,"[(1598378047.0, 'fb')]",No es necesario creer en Dios para ser una buena persona En cierta forma la idea tradicional de Dios no está actualizada Uno puede ser espiritual pero no religioso No es necesario ir a la iglesia y dar dinero Para muchos la naturaleza puede ser una iglesia Algunas de las mejores personas en la historia no creían en Dios mientras que muchos de los peores actos se hicieron en su nombre  Papa Francisco  ,['False information'],,You dont have to believe in God to be a good person In a way the idea Gods tradition is out of date One it can be spiritual but not religious Nope it is necessary to go to church and give money For many nature can be a church Some of the best people in history did not believe in God while many of the worst acts were done in your name  Pope Francisco  ,"[('spa', 0.9982149600982666)]"
31,"[(1646732646.0, 'fb')]",No existe NINGUNA PRUEBA CIENTÍFICA que avale la utilidad médica del uso de las máscaras faciales Por eso hemos decidido NO INTRODUCIR LA OBLIGATORIEDAD de las máscaras en todo nuestra nación  Tamara van Ark Ministra de Salud de Holanda  WerkgelegenheidCC BYSA,['Missing context'],,There is NO SCIENTIFIC PROOF that endorse the medical utility of the use of masks facials Thats why we have decided NOT TO INTRODUCE THE OBLIGATION OF the masks on everything our nation  Tamara van Ark Dutch Minister of Health  WerkgelegenheidCC BYSA,"[('spa', 0.8682280778884888), ('nld', 0.07253090292215347)]"
32,"[(1599576185.0, 'fb')]",No existe NINGUNA PRUEBA CIENTÍFICA que avale la utilidad médica del uso de las máscaras faciales Por eso hemos decidido NO INTRODUCIR LA OBLIGATORIEDAD de las máscaras en todo nuestra nación Tamara van Ark Ministra de Salud de Holanda ,['Missing context'],,There is NO SCIENTIFIC PROOF that endorse the medical utility of the use of masks facials Thats why we have decided NOT TO INTRODUCE THE OBLIGATION OF the masks on everything our nation Tamara van Ark Dutch Minister of Health ,"[('spa', 0.9371819496154785)]"
33,"[(1563832859.0, 'fb')]",Nós vivemos numa geração de pessoas emocionalmente fracas Tudo tem que ser abafado porque é ofensivo inclusive a verdade  Keanu Reeves,['Partly false information'],,We we live in a generation of people emotionally weak everything has to be stuffy because its offensive including truth  Keanu Reeves,"[('por', 0.871554970741272)]"
